character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	2
<SPACE>	U+0020	SPACE	Zs	15822077
!	U+0021	EXCLAMATION MARK	Po	4336
""""	U+0022	QUOTATION MARK	Po	98692
#	U+0023	NUMBER SIGN	Po	2531
$	U+0024	DOLLAR SIGN	Sc	24
%	U+0025	PERCENT SIGN	Po	6776
&	U+0026	AMPERSAND	Po	169
'	U+0027	APOSTROPHE	Po	8552
(	U+0028	LEFT PARENTHESIS	Ps	74131
)	U+0029	RIGHT PARENTHESIS	Pe	74254
*	U+002A	ASTERISK	Po	270
+	U+002B	PLUS SIGN	Sm	544
,	U+002C	COMMA	Po	600186
-	U+002D	HYPHEN-MINUS	Pd	143976
.	U+002E	FULL STOP	Po	884327
/	U+002F	SOLIDUS	Po	245517
0	U+0030	DIGIT ZERO	Nd	375662
1	U+0031	DIGIT ONE	Nd	277000
2	U+0032	DIGIT TWO	Nd	341272
3	U+0033	DIGIT THREE	Nd	142861
4	U+0034	DIGIT FOUR	Nd	117612
5	U+0035	DIGIT FIVE	Nd	128173
6	U+0036	DIGIT SIX	Nd	100436
7	U+0037	DIGIT SEVEN	Nd	94726
8	U+0038	DIGIT EIGHT	Nd	98150
9	U+0039	DIGIT NINE	Nd	102696
:	U+003A	COLON	Po	370850
;	U+003B	SEMICOLON	Po	6695
<	U+003C	LESS-THAN SIGN	Sm	18
=	U+003D	EQUALS SIGN	Sm	96
>	U+003E	GREATER-THAN SIGN	Sm	14
?	U+003F	QUESTION MARK	Po	43762
@	U+0040	COMMERCIAL AT	Po	287
A	U+0041	LATIN CAPITAL LETTER A	Lu	314904
B	U+0042	LATIN CAPITAL LETTER B	Lu	211368
C	U+0043	LATIN CAPITAL LETTER C	Lu	80232
D	U+0044	LATIN CAPITAL LETTER D	Lu	285781
E	U+0045	LATIN CAPITAL LETTER E	Lu	282498
F	U+0046	LATIN CAPITAL LETTER F	Lu	53758
G	U+0047	LATIN CAPITAL LETTER G	Lu	67392
H	U+0048	LATIN CAPITAL LETTER H	Lu	292342
I	U+0049	LATIN CAPITAL LETTER I	Lu	70059
J	U+004A	LATIN CAPITAL LETTER J	Lu	65129
K	U+004B	LATIN CAPITAL LETTER K	Lu	359533
L	U+004C	LATIN CAPITAL LETTER L	Lu	140458
M	U+004D	LATIN CAPITAL LETTER M	Lu	155264
N	U+004E	LATIN CAPITAL LETTER N	Lu	163335
O	U+004F	LATIN CAPITAL LETTER O	Lu	58344
P	U+0050	LATIN CAPITAL LETTER P	Lu	192205
Q	U+0051	LATIN CAPITAL LETTER Q	Lu	20087
R	U+0052	LATIN CAPITAL LETTER R	Lu	267296
S	U+0053	LATIN CAPITAL LETTER S	Lu	267893
T	U+0054	LATIN CAPITAL LETTER T	Lu	227026
U	U+0055	LATIN CAPITAL LETTER U	Lu	26505
V	U+0056	LATIN CAPITAL LETTER V	Lu	40799
W	U+0057	LATIN CAPITAL LETTER W	Lu	78920
X	U+0058	LATIN CAPITAL LETTER X	Lu	34486
Y	U+0059	LATIN CAPITAL LETTER Y	Lu	64771
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	24501
[	U+005B	LEFT SQUARE BRACKET	Ps	511
\	U+005C	REVERSE SOLIDUS	Po	1130
]	U+005D	RIGHT SQUARE BRACKET	Pe	508
^	U+005E	CIRCUMFLEX ACCENT	Sk	11
_	U+005F	LOW LINE	Pc	103325
`	U+0060	GRAVE ACCENT	Sk	2580
a	U+0061	LATIN SMALL LETTER A	Ll	8038183
b	U+0062	LATIN SMALL LETTER B	Ll	2324167
c	U+0063	LATIN SMALL LETTER C	Ll	433675
d	U+0064	LATIN SMALL LETTER D	Ll	3330792
e	U+0065	LATIN SMALL LETTER E	Ll	8314496
f	U+0066	LATIN SMALL LETTER F	Ll	272202
g	U+0067	LATIN SMALL LETTER G	Ll	943676
h	U+0068	LATIN SMALL LETTER H	Ll	1518934
i	U+0069	LATIN SMALL LETTER I	Ll	7062463
j	U+006A	LATIN SMALL LETTER J	Ll	993861
k	U+006B	LATIN SMALL LETTER K	Ll	3065327
l	U+006C	LATIN SMALL LETTER L	Ll	1925976
m	U+006D	LATIN SMALL LETTER M	Ll	1885175
n	U+006E	LATIN SMALL LETTER N	Ll	5697678
o	U+006F	LATIN SMALL LETTER O	Ll	1559530
p	U+0070	LATIN SMALL LETTER P	Ll	816469
q	U+0071	LATIN SMALL LETTER Q	Ll	195098
r	U+0072	LATIN SMALL LETTER R	Ll	5548880
s	U+0073	LATIN SMALL LETTER S	Ll	1793749
t	U+0074	LATIN SMALL LETTER T	Ll	2549877
u	U+0075	LATIN SMALL LETTER U	Ll	1219580
v	U+0076	LATIN SMALL LETTER V	Ll	1158931
w	U+0077	LATIN SMALL LETTER W	Ll	1555103
x	U+0078	LATIN SMALL LETTER X	Ll	611091
y	U+0079	LATIN SMALL LETTER Y	Ll	2796544
z	U+007A	LATIN SMALL LETTER Z	Ll	795275
{	U+007B	LEFT CURLY BRACKET	Ps	2
|	U+007C	VERTICAL LINE	Sm	82911
}	U+007D	RIGHT CURLY BRACKET	Pe	2
¤	U+00A4	CURRENCY SIGN	Sc	2
«	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK	Pi	4
¬	U+00AC	NOT SIGN	Sm	1
¯	U+00AF	MACRON	Sk	2
°	U+00B0	DEGREE SIGN	So	4
²	U+00B2	SUPERSCRIPT TWO	No	2
³	U+00B3	SUPERSCRIPT THREE	No	3
µ	U+00B5	MICRO SIGN	Ll	5
·	U+00B7	MIDDLE DOT	Po	376
»	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK	Pf	10
¾	U+00BE	VULGAR FRACTION THREE QUARTERS	No	2
À	U+00C0	LATIN CAPITAL LETTER A WITH GRAVE	Lu	4
